"Year","Fur sales, skunk, H. B. Co., 1850-1911"
"1851",1136
"1852",1452
"1853",1619
"1854",4474
"1855",5959
"1856",11320
"1857",7750
"1858",8213
"1859",8529
"1860",9983
"1861",3758
"1862",3315
"1863",1969
"1864",2966
"1865",1617
"1866",2780
"1867",2779
"1868",6208
"1869",6679
"1870",9606
"1871",3286
"1872",2621
"1873",1759
"1874",1322
"1875",2077
"1876",2828
"1877",3928
"1878",6933
"1879",8395
"1880",7927
"1881",6818
"1882",5407
"1883",7178
"1884",6474
"1885",12647
"1886",21249
"1887",11009
"1888",16390
"1889",11334
"1890",10814
"1891",12665
"1892",10646
"1893",9214
"1894",6841
"1895",8885
"1896",13664
"1897",18842
"1898",16755
"1899",9874
"1900",11012
"1901",6172
"1902",5749
"1903",5207
"1904",5427
"1905",6090
"1906",9129
"1907",11581
"1908",5235
"1909",1591
"1910",1613
"1911",1037

Fur sales, skunk, H. B. Co., 1850-1911

