"Quarter","Quarterly production of Gas in Australia: million megajoules. Includes natural gas from July 1989. Mar 1956 ? Sep 1994"
"1956Q1",5149
"1956Q2",6372
"1956Q3",7068
"1956Q4",5908
"1957Q1",5359
"1957Q2",6531
"1957Q3",7365
"1957Q4",5982
"1958Q1",5244
"1958Q2",6785
"1958Q3",7576
"1958Q4",6036
"1959Q1",5317
"1959Q2",6889
"1959Q3",7702
"1959Q4",6247
"1960Q1",5582
"1960Q2",7534
"1960Q3",8388
"1960Q4",6605
"1961Q1",5592
"1961Q2",7428
"1961Q3",8377
"1961Q4",6426
"1962Q1",5730
"1962Q2",7660
"1962Q3",8494
"1962Q4",6647
"1963Q1",5899
"1963Q2",7891
"1963Q3",8905
"1963Q4",6721
"1964Q1",5983
"1964Q2",8135
"1964Q3",8958
"1964Q4",6922
"1965Q1",6088
"1965Q2",8377
"1965Q3",9116
"1965Q4",6911
"1966Q1",6067
"1966Q2",8494
"1966Q3",9717
"1966Q4",7280
"1967Q1",6236
"1967Q2",8599
"1967Q3",10150
"1967Q4",7258
"1968Q1",6193
"1968Q2",9263
"1968Q3",10784
"1968Q4",7902
"1969Q1",6615
"1969Q2",9654
"1969Q3",13262
"1969Q4",10646
"1970Q1",12439
"1970Q2",17789
"1970Q3",22958
"1970Q4",19656
"1971Q1",18696
"1971Q2",24244
"1971Q3",28065
"1971Q4",23768
"1972Q1",24083
"1972Q2",33855
"1972Q3",39663
"1972Q4",34572
"1973Q1",34459
"1973Q2",40881
"1973Q3",47617
"1973Q4",39426
"1974Q1",37674
"1974Q2",47976
"1974Q3",51563
"1974Q4",42660
"1975Q1",39177
"1975Q2",49424
"1975Q3",55003
"1975Q4",46824
"1976Q1",44225
"1976Q2",57572
"1976Q3",65088
"1976Q4",53760
"1977Q1",49312
"1977Q2",63723
"1977Q3",74308
"1977Q4",57734
"1978Q1",55753
"1978Q2",70994
"1978Q3",77700
"1978Q4",65012
"1979Q1",58554
"1979Q2",74172
"1979Q3",87601
"1979Q4",71143
"1980Q1",68305
"1980Q2",91494
"1980Q3",103355
"1980Q4",82828
"1981Q1",87838
"1981Q2",109885
"1981Q3",119783
"1981Q4",100887
"1982Q1",92566
"1982Q2",116031
"1982Q3",126610
"1982Q4",97691
"1983Q1",91901
"1983Q2",118398
"1983Q3",123589
"1983Q4",104150
"1984Q1",97129
"1984Q2",116333
"1984Q3",130379
"1984Q4",111173
"1985Q1",102607
"1985Q2",119591
"1985Q3",131551
"1985Q4",107312
"1986Q1",98451
"1986Q2",126824
"1986Q3",136760
"1986Q4",112228
"1987Q1",106125
"1987Q2",129905
"1987Q3",158412
"1987Q4",123315
"1988Q1",115582
"1988Q2",136809
"1988Q3",157408
"1988Q4",125375
"1989Q1",116596
"1989Q2",149075
"1989Q3",161341
"1989Q4",127719
"1990Q1",113154
"1990Q2",137614
"1990Q3",151347
"1990Q4",122942
"1991Q1",111133
"1991Q2",141270
"1991Q3",159795
"1991Q4",125346
"1992Q1",117445
"1992Q2",150854
"1992Q3",174613
"1992Q4",129196
"1993Q1",106065
"1993Q2",149055
"1993Q3",162808
"1993Q4",138060
"1994Q1",127455
"1994Q2",159058
"1994Q3",184202

Quarterly production of Gas in Australia: million megajoules. Includes natural gas from July 1989. Mar 1956 ? Sep 1994

